id,area,pagina,carpeta_origen,titulo,descripcion,tipo,archivo_origen,estado,prioridad,es_duplicado,duplicado_de
1,Ana María Romero Sandoval,Misión / Visión / PEI,1 - ANA MARÍA ROMERO SANDOVAL,"La misión y la visión deben consignarse exactamente como figuran en el PEI y el POI, sin modificacio…","La misión y la visión deben consignarse exactamente como figuran en el PEI y el POI, sin modificaciones, ampliaciones ni reducciones en su contenido, ya que cualquier variación constituye una observación durante los procesos de supervisión de SUNEDU.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
2,Ana María Romero Sandoval,Carrera / Programa académico,1 - ANA MARÍA ROMERO SANDOVAL,"Eliminar la expresión “PRÓXIMAMENTE”, debido a que la modalidad actualmente ofertada y vigente en su…","Eliminar la expresión “PRÓXIMAMENTE”, debido a que la modalidad actualmente ofertada y vigente en su mayoría es la modalidad a distancia. Asimismo, la denominación correcta de la modalidad es “A Distancia”.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
3,Ana María Romero Sandoval,Posgrado,1 - ANA MARÍA ROMERO SANDOVAL,"Actualizar la clasificación de la oferta académica a: Pregrado, Segunda Especialidad, Posgrado – Mae…","Actualizar la clasificación de la oferta académica a: Pregrado, Segunda Especialidad, Posgrado – Maestrías y Posgrado – Doctorados. Asimismo, eliminar la palabra “Salud”, por no corresponder a la clasificación institucional de los programas académicos.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
4,Ana María Romero Sandoval,General,1 - ANA MARÍA ROMERO SANDOVAL,"Corregir el texto correspondiente a la pregunta, a fin de garantizar su claridad, coherencia y adecu…","Corregir el texto correspondiente a la pregunta, a fin de garantizar su claridad, coherencia y adecuada redacción.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
5,Ana María Romero Sandoval,General,1 - ANA MARÍA ROMERO SANDOVAL,Corregir la dirección; la denominación correcta es “Lote Resultante 1A”.,Corregir la dirección; la denominación correcta es “Lote Resultante 1A”.,observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
6,Ana María Romero Sandoval,Menú / Navegación,1 - ANA MARÍA ROMERO SANDOVAL,"Al hacer clic en el botón “Saber más”, el enlace dirige a la página de YouTube. Se recomienda que re…","Al hacer clic en el botón “Saber más”, el enlace dirige a la página de YouTube. Se recomienda que redirija al canal oficial de YouTube de la Universidad, a fin de garantizar la difusión de contenido institucional. 7553325-1778000 No se despliegan las opciones del menú de navegación. Estas solo son visibles al reducir el nivel de zoom de la página.. Mostrar todas las modalidades registradas del programa y corregir la denominación de la modalidad a “A Distancia”, en reemplazo de “Virtual”, por ser la nomenclatura oficial. Existe una inconsistencia entre la modalidad consignada en la pregunta y la mostrada en el resumen de cierre. Unificar la información, ya que en la primera figura “A Distancia” y en la segunda “Presencial”. Se recomienda no consignar las fechas de admisión de cada programa, ya que la fecha oficial de admisión es la establecida en el Calendario Académico Institucional y puede estar sujeta a modificaciones. Asimismo, verificar y unificar la información correspondiente a las modalidades de todos los programas, utilizando la denominación oficial autorizada para cada una de ellas.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
7,Ana María Romero Sandoval,Carrera / Programa académico,1 - ANA MARÍA ROMERO SANDOVAL,"Corregir la información correspondiente a “PUEDE”, ya que hace referencia a un horario y no a una cl…","Corregir la información correspondiente a “PUEDE”, ya que hace referencia a un horario y no a una clasificación de programas. Asimismo, las carreras ofertadas corresponden a las mismas de Pregrado Regular.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
8,Ana María Romero Sandoval,Carrera / Programa académico,1 - ANA MARÍA ROMERO SANDOVAL,"Incorporar un apartado independiente para “Segunda Especialidad”, ya que constituye un nivel académi…","Incorporar un apartado independiente para “Segunda Especialidad”, ya que constituye un nivel académico distinto y no forma parte de los programas de Pregrado.",observación,1 - ANA MARÍA ROMERO SANDOVAL/OBSERVACIONES PÁG WEB PRUEBA.docx,pendiente,media,False,
9,Marietta Lezama (DCA),Página principal / Home,2 - MARIETTA LEZAMA,De mi consideración:,De mi consideración:,observación,2 - MARIETTA LEZAMA/INFORME 026-2026- UPRIT- DCA- REVISIÓN DE PÁGINA WEB INSTITUCIONAL- TI.docx,pendiente,media,False,
10,Marietta Lezama (DCA),Página principal / Home,2 - MARIETTA LEZAMA,"Tengo el agrado de dirigirme a usted, a nombre de la Dirección de Calidad y Acreditación, con la fin…","Tengo el agrado de dirigirme a usted, a nombre de la Dirección de Calidad y Acreditación, con la finalidad de hacerle llegar el informe de la revisión de la propuesta de la página web institucional, dando respuesta a la comunicación de fecha 22 de julio, enviada mediante correo electrónico por el sr. Jhon Livias. Sin otro particular, quedo de usted. Atentamente, Mg. Ing. Cecilia Marietta Lezama Sánchez DIRECTORA DE CALIDAD Y ACREDITACIÓN Universidad Privada de Trujillo INFORME DE REVISIÓN DE PROPUESTA DE PÁGINA WEB INSTITUCIONAL Para la realización del presente informe, hemos tomado como base el contenido mínimo requerido de lo que establece la Ley Universitaria y las disposiciones de SUNEDU ya que el incumplimiento de estas obligaciones de transparencia puede ser materia de supervisión y sanción por parte de la SUNEDU.",observación,2 - MARIETTA LEZAMA/INFORME 026-2026- UPRIT- DCA- REVISIÓN DE PÁGINA WEB INSTITUCIONAL- TI.docx,pendiente,media,False,
11,Marietta Lezama (DCA),Página principal / Home,2 - MARIETTA LEZAMA,"De acuerdo a esta premisa, es importante para la superintendencia la información contenida en el Por…","De acuerdo a esta premisa, es importante para la superintendencia la información contenida en el Portal de Transparencia de la universidad, el cual debe difundir:",observación,2 - MARIETTA LEZAMA/INFORME 026-2026- UPRIT- DCA- REVISIÓN DE PÁGINA WEB INSTITUCIONAL- TI.docx,pendiente,media,False,
12,Marietta Lezama (DCA),Página principal / Home,2 - MARIETTA LEZAMA,📜 1. Documentos de Gestión y Normativa Interna Estatuto de la universidad. Reglamento General y demá…,"📜 1. Documentos de Gestión y Normativa Interna Estatuto de la universidad. Reglamento General y demás reglamentos internos. Texto Único de Procedimientos Administrativos (TUPA). Plan Estratégico Institucional (PEI). Manual de Organización y Funciones (MOF) u otros documentos de gestión que definan la estructura orgánica. 🗓️ 2. Actas y Resoluciones de los Órganos de Gobierno Actas de las sesiones del Consejo Universitario. Actas de las sesiones de la Asamblea Universitaria. Actas de las sesiones de Consejo de Facultad. Resoluciones emitidas por las autoridades competentes (Rectorales, Vicerrectorales, etc.). 💰 3. Información Económica y Financiera Estados financieros (Balance General, Estado de Resultados, etc.). Ejecución presupuestal y balances actualizados. Inversiones, reinversiones y donaciones recibidas. Obras de infraestructura y recursos de diversa fuente. 🎓 4. Oferta Académica y Vida Universitaria Proyectos de investigación y los gastos que estos generan. Relación y número de becas y créditos educativos disponibles y otorgados en el año en curso. Relación de pagos exigidos a los alumnos (matrícula, pensiones, derechos de grado, etc.). Número de alumnos por facultades y programas de estudio. 👨‍🏫 5. Personal Docente y Administrativo Conformación del cuerpo docente, indicando su clase, categoría y hoja de vida. Remuneraciones, bonificaciones y demás estímulos que se pagan a las autoridades y docentes en cada categoría. 📊 6. Estadísticas y Procesos de Admisión Número de postulantes, ingresantes, egresados y graduados por año y carrera. 💡 Aspectos Adicionales a Considerar Interoperabilidad con SUNEDU: El portal debe ser interoperable con el Sistema de Información Universitaria de la SUNEDU, lo que facilita la fiscalización y el acceso a la información. Accesibilidad: La información debe ser de fácil acceso y, de ser el caso, debe contar con opciones para personas con discapacidad que puedan limitar su acceso. Protección de Datos: La publicación debe realizarse con observancia de las normas de protección de datos personales. Actualización Permanente: La información debe mantenerse actualizada para cumplir con el deber de transparencia. Lenguaje y Claridad: La información debe ser presentada de manera clara y comprensible, evitando tecnicismos innecesarios.",observación,2 - MARIETTA LEZAMA/INFORME 026-2026- UPRIT- DCA- REVISIÓN DE PÁGINA WEB INSTITUCIONAL- TI.docx,pendiente,media,False,
13,Marietta Lezama (DCA),Página principal / Home,2 - MARIETTA LEZAMA,"Habiendo revisado la propuesta de página web institucional, se ha detectado lo siguiente:","Habiendo revisado la propuesta de página web institucional, se ha detectado lo siguiente:",observación,2 - MARIETTA LEZAMA/INFORME 026-2026- UPRIT- DCA- REVISIÓN DE PÁGINA WEB INSTITUCIONAL- TI.docx,pendiente,media,False,
